extension\10_em_81	H I \Delta
MfrDB\MfrDB0400	+ - 1 2 8
MfrDB\MfrDB0401	- 1 2 4
MfrDB\MfrDB0402	- 1 4 5
MfrDB\MfrDB0403	+ 4 \int a
MfrDB\MfrDB0404	4 8 A \times
MfrDB\MfrDB0405	4 8 \times a
MfrDB\MfrDB0420	+ 4 5 = f x y
MfrDB\MfrDB0435	- 1 3
MfrDB\MfrDB0450	+ 2 4 =
MfrDB\MfrDB0462	+ 5
MfrDB\MfrDB0463	0 \infty \int d x
MfrDB\MfrDB0464	+ 1
MfrDB\MfrDB0469	( ) 1 = f x
MfrDB\MfrDB0470	+ 2 5 = x y
MfrDB\MfrDB0482	+ 1 = x y
MfrDB\MfrDB0483	+ 3 = x y
MfrDB\MfrDB0495	+ 3 4
MfrDB\MfrDB0512	- 1
MfrDB\MfrDB0518	+ 2 = a b h
MfrDB\MfrDB0524	+ 1 2 = a
MfrDB\MfrDB0525	+ 3 4
MfrDB\MfrDB0526	+ 3 4
MfrDB\MfrDB0532	+ 1 5 = x
MfrDB\MfrDB0533	+ 2
MfrDB\MfrDB0534	+ 2 = x
MfrDB\MfrDB0541	= \times a b x
MfrDB\MfrDB0544	2 x
MfrDB\MfrDB0552	+ 1 2
MfrDB\MfrDB0555	+ 2 4 =
MfrDB\MfrDB0556	2 \sqrt
MfrDB\MfrDB0574	( ) + 1 2 5 \sqrt \times
MfrDB\MfrDB0576	+ 0 1 4 = x y
MfrDB\MfrDB0580	+ 2 4 6 =
MfrDB\MfrDB0582	( ) + 1 2 = f x y
MfrDB\MfrDB0587	+ 4
MfrDB\MfrDB0594	2 = x y
MfrDB\MfrDB0596	- 2 3 = x y
MfrDB\MfrDB0603	+ 2
MfrDB\MfrDB0604	+ - 1 2 3
MfrDB\MfrDB0605	( ) + 1 3 4 x y
MfrDB\MfrDB0611	2 = x y
MfrDB\MfrDB0633	2 8 \times
MfrDB\MfrDB0637	2 x
MfrDB\MfrDB0639	+ 2 3 = i m x
MfrDB\MfrDB0643	2 = x y
MfrDB\MfrDB0647	+ 1 = x y
MfrDB\MfrDB0656	- 0 2 4 = x
MfrDB\MfrDB0657	5 \int d x
MfrDB\MfrDB0666	+ = \sum a b x
MfrDB\MfrDB0673	2 = E c m
MfrDB\MfrDB0683	+ = b m x y
MfrDB\MfrDB0686	+ 2 3 5 =
MfrDB\MfrDB0687	+ 1 5 7 = x y
MfrDB\MfrDB0691	( ) - \cos \sin x
MfrDB\MfrDB0692	+ 3 4
MfrDB\MfrDB0699	+ 1 2 =
MfrDB\MfrDB0701	+ 2 5 =
MfrDB\MfrDB0707	+ 1
MfrDB\MfrDB0721	1 = x
MfrDB\MfrDB0722	\pi e i
MfrDB\MfrDB0724	+ 1 3 =
MfrDB\MfrDB0729	( ) 2 = f x
MfrDB\MfrDB0731	2 x
MfrDB\MfrDB0732	+ 1 = x y
MfrDB\MfrDB0742	3 \times
MfrDB\MfrDB0755	2 = E c m
MfrDB\MfrDB0757	+ 0 1 2 = x
MfrDB\MfrDB0786	( ) 1 = f x
MfrDB\MfrDB0804	( ) + / 0 2 3 4 5
MfrDB\MfrDB0807	2 = c e m
MfrDB\MfrDB0808	( ) , 0 = \infty \int \pi d i p x
MfrDB\MfrDB0822	/ 2 = C E M
MfrDB\MfrDB0861	+ 1 2 =
MfrDB\MfrDB0866	1 3 = x
MfrDB\MfrDB0868	= \times p x y
MfrDB\MfrDB0870	- 1 2 3 6 = \sqrt x
MfrDB\MfrDB0892	+ 1 = a b
MfrDB\MfrDB0896	+ 1 2
MfrDB\MfrDB0899	+ 2 = x y
MfrDB\MfrDB0911	+ 5
MfrDB\MfrDB0912	5 \sqrt
MfrDB\MfrDB0914	2 = E c m
MfrDB\MfrDB0916	+ 3
MfrDB\MfrDB0922	+ 2
MfrDB\MfrDB0944	+ 1 2 =
MfrDB\MfrDB0945	- 1 2 =
MfrDB\MfrDB0948	+ 1 2
MfrDB\MfrDB0972	2 \times
MfrDB\MfrDB0979	2 4 \pi r
MfrDB\MfrDB0982	2 = i x
MfrDB\MfrDB0987	+ 1 4 = X
MfrDB\MfrDB0992	+ 1 6
MfrDB\MfrDB1001	0 1 = c
MfrDB\MfrDB1005	2 = x
MfrDB\MfrDB1008	2 = c e m
MfrDB\MfrDB1010	+ 2
MfrDB\MfrDB1011	2 = x y
MfrDB\MfrDB1015	( ) + 2 = a b
MfrDB\MfrDB1021	- = E T V
MfrDB\MfrDB1023	+ 4 = x y
MfrDB\MfrDB1040	+ = a b i x
MfrDB\MfrDB1044	+ 2 3
MfrDB\MfrDB1045	+ 2 3
MfrDB\MfrDB1052	+ 5
MfrDB\MfrDB1064	+ 1 2
MfrDB\MfrDB1065	+ 1 2
MfrDB\MfrDB1067	2 4 = \sqrt
MfrDB\MfrDB1068	( ) + 2 = a b
MfrDB\MfrDB1070	5 e
MfrDB\MfrDB1076	+ 3 6 =
MfrDB\MfrDB1079	+ 1 2 =
MfrDB\MfrDB1080	+ - 1 2 x
MfrDB\MfrDB1083	+ 1 2 3 =
MfrDB\MfrDB1088	+ 2 = a b c
MfrDB\MfrDB1094	( ) 2 = f x
MfrDB\MfrDB1095	+ 1 = A x
MfrDB\MfrDB1099	+ 1 3 4 =
MfrDB\MfrDB1106	+ 1 2
MfrDB\MfrDB1107	+ 1 6 = x y
MfrDB\MfrDB1111	2 = x y
MfrDB\MfrDB1124	+ - 0 1 \infty \int d x
MfrDB\MfrDB1125	( ) + 0 1 2 7 = \sum k
MfrDB\MfrDB1126	- 1 2 3 \sqrt n
MfrDB\MfrDB1127	( ) - 2 = \alpha \sin x
MfrDB\MfrDB1132	- 1 2 = g h t
MfrDB\MfrDB1135	+ 5 7 = x
MfrDB\MfrDB1136	- 2 4 = \pm \sqrt a b c y
MfrDB\MfrDB1141	+ 1 2 3 = x
MfrDB\MfrDB1142	+ 1 2 =
MfrDB\MfrDB1150	+ 1 2 = x y
MfrDB\MfrDB1169	+ 0 1 2 = x
MfrDB\MfrDB1170	+ 0 2 3 5 = x
MfrDB\MfrDB1174	+ 3 = x y
MfrDB\MfrDB1176	+ 1 2
MfrDB\MfrDB1178	+ = \alpha \beta \pi
MfrDB\MfrDB1187	+ 1 2 =
MfrDB\MfrDB1198	+ 2 3 = n t
MfrDB\MfrDB1199	+ 2 5
MfrDB\MfrDB1200	2 = A X Y
MfrDB\MfrDB1206	+ 3 4
MfrDB\MfrDB1214	- 1 = \infty \sum e i
MfrDB\MfrDB1221	+ 2 4 =
MfrDB\MfrDB1228	+ 0 1 = \pi e i
MfrDB\MfrDB1229	5 \sqrt
MfrDB\MfrDB1230	+ 1 2 a
MfrDB\MfrDB1231	+ - 1 2 3 5
MfrDB\MfrDB1232	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1233	. = V a b c
MfrDB\MfrDB1234	- 1 2 3 8 =
MfrDB\MfrDB1235	- x y
MfrDB\MfrDB1236	+ - 1 2 3 a x
MfrDB\MfrDB1237	( ) - 1 2 x
MfrDB\MfrDB1238	( ) - 1 a
MfrDB\MfrDB1239	+ - 1 2 5 x
MfrDB\MfrDB1240	- 1 2 a b
MfrDB\MfrDB1241	( ) - 2 3 4 x
MfrDB\MfrDB1242	( ) - / 1 2 4 y
MfrDB\MfrDB1243	- 1 3 7 9 \sqrt x
MfrDB\MfrDB1244	! . 0 4 5 8 = n
MfrDB\MfrDB1245	! - . 0 1 6 7 9
MfrDB\MfrDB1247	( ) + - 0 3 = y
MfrDB\MfrDB1248	+ - 2 3 5 7 \leq x
MfrDB\MfrDB1249	- 2 3 5 \lt x
MfrDB\MfrDB1250	+ 2 4 5 = \log x
MfrDB\MfrDB1251	( ) . 2 4 6 = x
MfrDB\MfrDB1252	( ) - 2 3 5 = \log x
MfrDB\MfrDB1253	+ - 1 2 6 = x
MfrDB\MfrDB1254	( ) + - 1 = a d n
MfrDB\MfrDB1255	- . 1 = a n q
MfrDB\MfrDB1256	1 = \sum a k n s
MfrDB\MfrDB1257	+ - 1 2 3 \sqrt z
MfrDB\MfrDB1263	( ) + - 1 2 = \sum i n
MfrDB\MfrDB1265	- 0 1 2 = \infty \int \pi \sqrt d e x
MfrDB\MfrDB1266	- 0 2 = \infty \int \pi \sin d x
MfrDB\MfrDB1268	- 0 1 3 4 5 = \int \pi d e x
MfrDB\MfrDB1269	( ) - = F \int a b d f x
MfrDB\MfrDB1270	0 1 \int \sqrt d x
MfrDB\MfrDB1271	! + - 0 = \infty \int d e n x
MfrDB\MfrDB1272	= \cos \int \sin d t
MfrDB\MfrDB1273	( ) + - 0 1 2 = R \int \log d x
MfrDB\MfrDB1274	0 1 2 \int d x y
MfrDB\MfrDB1275	( ) 0 = \int a d f x
MfrDB\MfrDB1276	( ) 0 = \infty \int \lim \rightarrow b d f x
MfrDB\MfrDB1278	+ - 1 = C \int d n x
MfrDB\MfrDB1279	- 0 1 2 = \sqrt c t v
MfrDB\MfrDB1280	+ - 0 1 2 = a s t
MfrDB\MfrDB1283	+ - 1 2 = E k m v
MfrDB\MfrDB1285	- 0 2 = g t v
MfrDB\MfrDB1287	- 1 2 3 = T a
MfrDB\MfrDB1288	+ = E k p
MfrDB\MfrDB1289	= L \infty \lim \rightarrow n x
MfrDB\MfrDB1290	- 1 = \infty \lim \rightarrow n
MfrDB\MfrDB1291	- 0 1 = \cos \lim \rightarrow x
MfrDB\MfrDB1292	+ - 1 \infty \lim \rightarrow n x |
MfrDB\MfrDB1294	+ - 1 2 3 = \infty \lim \rightarrow n
MfrDB\MfrDB1295	( ) + - 0 2 = \infty \lim \rightarrow \sqrt n
MfrDB\MfrDB1296	( ) + , - = f x y
MfrDB\MfrDB1297	( ) + , 1 2 = F G H x y z
MfrDB\MfrDB1298	( ) , - 2 3 4 = g
MfrDB\MfrDB1299	( ) + 2 = \pi \sin k x
MfrDB\MfrDB1301	- 2 4 = \cos \pi \sin \sqrt
MfrDB\MfrDB1302	+ - 1 2 = \cos g t y
MfrDB\MfrDB1303	- 1 2 = \cos \sin \sqrt z |
MfrDB\MfrDB1304	( ) + - 2 = \cos \sin x y
MfrDB\MfrDB1305	- . 1 2 = g t x
MfrDB\MfrDB1306	( ) + - 1 3 4 = \cos y
MfrDB\MfrDB1309	, 0 = M N \sum a m n
MfrDB\MfrDB1310	( ) - 1 2 = \geq \sqrt \sum a k n
MfrDB\MfrDB1315	( ) + - . 1 2 3 = f h x
MfrDB\MfrDB1316	( ) + - 1 2 = A B x
MfrDB\MfrDB1317	+ - \leq a b c |
MfrDB\MfrDB1318	( ) - 2 a b |
MfrDB\MfrDB1319	+ \lt a b c x
MfrDB\MfrDB1320	- \lt a b c x
MfrDB\MfrDB1321	- 0 2 6 \lt x
MfrDB\MfrDB1322	( ) + - 0 1 3 5 \gt x
MfrDB\MfrDB1323	2 = \sqrt x |
MfrDB\MfrDB1324	= \sqrt x y z
MfrDB\MfrDB1325	( ) - 1 2 = \prime \sqrt f x
MfrDB\MfrDB1326	( ) / 0 1 2 = \log \sqrt x
MfrDB\MfrDB1327	- 2 4 = \sqrt a n
MfrDB\MfrDB1328	+ 2 = \sqrt a b i x y |
MfrDB\MfrDB1342	+ 1 2 =
MfrDB\MfrDB1343	+ 2 = a b c
MfrDB\MfrDB1350	2 = x y
MfrDB\MfrDB1367	+ 1
MfrDB\MfrDB1374	+ 2
MfrDB\MfrDB1380	+ 2 3
MfrDB\MfrDB1387	2 = c e m
MfrDB\MfrDB1394	2 = E c m
MfrDB\MfrDB1405	- 0 1 2 = x
MfrDB\MfrDB1409	+ 2 4 =
MfrDB\MfrDB1410	( ) + 2 = a b
MfrDB\MfrDB1413	+ - 1 3 7 = x
MfrDB\MfrDB1419	+ 1 2 3 =
MfrDB\MfrDB1425	+ 1 2 =
MfrDB\MfrDB1432	- 2 4 \pm \sqrt a b c
MfrDB\MfrDB1434	5 \sqrt
MfrDB\MfrDB1435	+ 1
MfrDB\MfrDB1436	5 \sqrt
MfrDB\MfrDB1437	+ 1 2 a
MfrDB\MfrDB1438	+ - 1 2 3 5
MfrDB\MfrDB1439	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1440	. = V a b c
MfrDB\MfrDB1441	- 1 2 3 8 =
MfrDB\MfrDB1442	- x y
MfrDB\MfrDB1443	+ - 1 2 3 a x
MfrDB\MfrDB1444	( ) - 1 2 x
MfrDB\MfrDB1445	( ) - 1 a
MfrDB\MfrDB1447	- 1 2 a b
MfrDB\MfrDB1448	( ) - 2 3 4 x
MfrDB\MfrDB1449	( ) - / 1 2 4 y
MfrDB\MfrDB1450	- 1 3 7 9 \sqrt x
MfrDB\MfrDB1451	! . 0 4 5 8 = n
MfrDB\MfrDB1454	( ) + - 0 3 = y
MfrDB\MfrDB1455	+ - 2 3 5 7 \leq x
MfrDB\MfrDB1456	- 2 3 5 \lt x
MfrDB\MfrDB1457	+ 2 4 5 = \log x
MfrDB\MfrDB1458	( ) . 2 4 6 = x
MfrDB\MfrDB1459	( ) - 2 3 5 = \log x
MfrDB\MfrDB1460	+ - 1 2 6 = x
MfrDB\MfrDB1461	( ) + - 1 = a d n
MfrDB\MfrDB1462	- . 1 = a n q
MfrDB\MfrDB1463	1 = S \sum a k n
MfrDB\MfrDB1464	+ - 1 2 3 \sqrt z
MfrDB\MfrDB1470	( ) + - 1 2 = \sum i n
MfrDB\MfrDB1472	- 0 1 2 = \infty \int \pi \sqrt d e x
MfrDB\MfrDB1473	- 0 2 = \infty \int \pi \sin d x
MfrDB\MfrDB1475	- 0 1 3 4 5 = \int \pi d e x
MfrDB\MfrDB1476	( ) - = F \int a b d f x
MfrDB\MfrDB1477	0 1 \int \sqrt d x
MfrDB\MfrDB1478	! + - 0 = \infty \int d e n x
MfrDB\MfrDB1479	= \cos \int \sin d t
MfrDB\MfrDB1480	( ) + - 0 1 2 = R \int \log d x
MfrDB\MfrDB1481	0 1 2 \int d x y
MfrDB\MfrDB1482	( ) 0 = \int a d f x
MfrDB\MfrDB1483	( ) 0 = \infty \int \lim \rightarrow b d f x
MfrDB\MfrDB1485	+ - 1 = C \int d n x
MfrDB\MfrDB1486	- 0 1 2 = \sqrt c t v
MfrDB\MfrDB1487	+ - 0 1 2 = a s t
MfrDB\MfrDB1490	+ - 1 2 = E k m v
MfrDB\MfrDB1492	- 0 2 = g t v
MfrDB\MfrDB1494	- 1 2 3 = T a
MfrDB\MfrDB1495	+ = E k p
MfrDB\MfrDB1496	= L \infty \lim \rightarrow n x
MfrDB\MfrDB1497	- 1 = \infty \lim \rightarrow n
MfrDB\MfrDB1498	- 0 1 = \cos \lim \rightarrow x
MfrDB\MfrDB1499	+ - 1 \infty \lim \rightarrow n x |
MfrDB\MfrDB1501	+ - 1 2 3 = \infty \lim \rightarrow n
MfrDB\MfrDB1502	( ) + - 0 2 = \infty \lim \rightarrow \sqrt n
MfrDB\MfrDB1503	( ) + , - = f x y
MfrDB\MfrDB1504	( ) + , 1 2 = F G H x y z
MfrDB\MfrDB1505	( ) , - 2 3 4 = g
MfrDB\MfrDB1506	( ) + 2 = \pi \sin k x
MfrDB\MfrDB1508	- 2 4 = \cos \pi \sin \sqrt
MfrDB\MfrDB1509	+ - 1 2 = \cos g t y
MfrDB\MfrDB1510	- 1 2 = \cos \sin \sqrt z |
MfrDB\MfrDB1511	( ) + - 2 = \cos \sin x y
MfrDB\MfrDB1512	- . 1 2 = g t x
MfrDB\MfrDB1513	( ) + - 1 3 4 = \cos y
MfrDB\MfrDB1516	, 0 = M N \sum a m n
MfrDB\MfrDB1517	( ) - 1 2 = \geq \sqrt \sum a k n
MfrDB\MfrDB1520	( ) - 0 1 2 = \infty \sum a i j
MfrDB\MfrDB1523	( ) + - 1 2 = A B x
MfrDB\MfrDB1524	+ - \leq a b c |
MfrDB\MfrDB1525	( ) - 2 a b |
MfrDB\MfrDB1526	+ \lt a b c x
MfrDB\MfrDB1527	- \lt a b c x
MfrDB\MfrDB1528	- \lt a b c x
MfrDB\MfrDB1529	- 0 2 6 \lt x
MfrDB\MfrDB1530	( ) + - 0 1 3 5 \gt x
MfrDB\MfrDB1531	2 = \sqrt x |
MfrDB\MfrDB1532	= \sqrt x y z
MfrDB\MfrDB1533	( ) - 1 2 = \prime \sqrt f x
MfrDB\MfrDB1534	( ) / 0 1 2 = \log \sqrt x
MfrDB\MfrDB1535	- 2 4 = \sqrt a n
MfrDB\MfrDB1536	+ 2 = \sqrt a b i x y |
MfrDB\MfrDB1537	5 \sqrt
MfrDB\MfrDB1538	+ 1 2 a
MfrDB\MfrDB1539	+ - 1 2 3 5
MfrDB\MfrDB1540	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1541	. = V a b c
MfrDB\MfrDB1542	- 1 2 3 8 =
MfrDB\MfrDB1543	- x y
MfrDB\MfrDB1544	+ - 1 2 3 a x
MfrDB\MfrDB1545	( ) - 1 2 x
MfrDB\MfrDB1546	( ) - 1 a
MfrDB\MfrDB1547	+ - 1 2 5 x
MfrDB\MfrDB1548	- 1 2 a b
MfrDB\MfrDB1549	( ) - 2 3 4 x
MfrDB\MfrDB1550	( ) - / 1 2 4 y
MfrDB\MfrDB1551	- 1 3 7 9 \sqrt x
MfrDB\MfrDB1552	! . 0 4 5 8 = n
MfrDB\MfrDB1553	! - . 0 1 6 7 9
MfrDB\MfrDB1555	( ) + - 0 3 = y
MfrDB\MfrDB1556	+ - 2 3 5 7 \leq x
MfrDB\MfrDB1557	- 2 3 5 \lt x
MfrDB\MfrDB1558	+ 2 4 5 = \log x
MfrDB\MfrDB1559	( ) . 2 4 6 = x
MfrDB\MfrDB1560	( ) - 2 3 5 = \log x
MfrDB\MfrDB1561	+ - 1 2 6 = x
MfrDB\MfrDB1562	( ) + - 1 = a d n
MfrDB\MfrDB1563	- . 1 = a n q
MfrDB\MfrDB1564	1 = S \sum a k n
MfrDB\MfrDB1565	+ - 1 2 3 \sqrt z
MfrDB\MfrDB1571	( ) + - 1 2 = \sum i n
MfrDB\MfrDB1573	- 0 1 2 = \infty \int \pi \sqrt d e x
MfrDB\MfrDB1574	- 0 2 = \infty \int \pi \sin x
MfrDB\MfrDB1576	- 0 1 3 4 5 = \int \pi d e x
MfrDB\MfrDB1577	( ) - = F \int a b d f x
MfrDB\MfrDB1578	0 1 \int \sqrt d x
MfrDB\MfrDB1579	! + - 0 = \infty \int d e n x
MfrDB\MfrDB1581	( ) + - 1 2 = R \int \log d o x
MfrDB\MfrDB1582	0 1 2 \int d x y
MfrDB\MfrDB1583	( ) 0 = \int a d f x
MfrDB\MfrDB1584	( ) 0 = \infty \int \lim \rightarrow b d f x
MfrDB\MfrDB1586	+ - 1 = C \int d n x
MfrDB\MfrDB1587	- 0 1 2 = \sqrt c t v
MfrDB\MfrDB1588	+ - 0 1 2 = a s t
MfrDB\MfrDB1591	+ - 1 2 = E k m v
MfrDB\MfrDB1593	- 0 2 = g t v
MfrDB\MfrDB1595	- 1 2 3 = T a
MfrDB\MfrDB1596	+ = E k p
MfrDB\MfrDB1597	= L \infty \lim \rightarrow n x
MfrDB\MfrDB1598	- 1 = \infty \lim \rightarrow n
MfrDB\MfrDB1599	- 0 1 = \cos \lim \rightarrow x
MfrDB\MfrDB1600	+ - 1 \infty \lim \rightarrow n x |
MfrDB\MfrDB1602	+ - 1 2 3 = \infty \lim \rightarrow n
MfrDB\MfrDB1603	( ) + - 0 2 = \infty \lim \rightarrow \sqrt n
MfrDB\MfrDB1604	( ) + , - = f x y
MfrDB\MfrDB1605	( ) + , 1 2 = F G H x y z
MfrDB\MfrDB1608	( ) , - 2 3 4 = g
MfrDB\MfrDB1611	- 1 2 = x y
MfrDB\MfrDB1613	+ 2 = a b c
MfrDB\MfrDB1615	+ - 1 2 3 7 8 b
MfrDB\MfrDB1616	2 3 \pi \sin
MfrDB\MfrDB1617	( ) 2 3 \pi \sin
MfrDB\MfrDB1618	( ) - 1 2 3 \cos \pi
MfrDB\MfrDB1620	( ) - 1 2 9 x y
MfrDB\MfrDB1621	+ 2 = C \int d x
MfrDB\MfrDB1623	( ) + - 2 a b
MfrDB\MfrDB1624	( ) - 2 3 a b c
MfrDB\MfrDB1625	( ) - 4 \geq a b c
MfrDB\MfrDB1626	( ) + , - 0 1 2 = \sqrt a b f
MfrDB\MfrDB1627	( ) - 1 3 \sqrt x
MfrDB\MfrDB1628	- 1 5 \sqrt a
MfrDB\MfrDB1629	- 3 5 8 \sqrt x y
MfrDB\MfrDB1630	( ) + - 2 5 6 9 a b
MfrDB\MfrDB1631	2 3 9 = \lim \rightarrow x
MfrDB\MfrDB1632	+ 2 3 \geq \sqrt k p
MfrDB\MfrDB1633	( ) - 2 7 z
MfrDB\MfrDB1634	( ) - . 1 = f p x
MfrDB\MfrDB1641	+ 2 3
MfrDB\MfrDB1642	2 = C E M
MfrDB\MfrDB1651	+ - 1 2 4 5 =
MfrDB\MfrDB1657	= x y z
MfrDB\MfrDB1665	+ 0 1 2 = x
MfrDB\MfrDB1666	5 \sqrt
MfrDB\MfrDB1667	+ 1 2 a
MfrDB\MfrDB1668	+ - 1 2 3 5
MfrDB\MfrDB1669	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1670	. = V a b c
MfrDB\MfrDB1671	- 1 2 3 8 =
MfrDB\MfrDB1672	- x y
MfrDB\MfrDB1673	+ - 1 2 3 a x
MfrDB\MfrDB1674	- 1 2 x
MfrDB\MfrDB1675	( ) - 1 2 x
MfrDB\MfrDB1676	( ) - 1 a
MfrDB\MfrDB1677	+ - 1 2 5 x
MfrDB\MfrDB1678	- 1 2 a b
MfrDB\MfrDB1679	( ) - 2 3 4 x
MfrDB\MfrDB1680	( ) - / 1 2 4 y
MfrDB\MfrDB1681	- 1 3 7 9 \sqrt x
MfrDB\MfrDB1682	! . 0 4 5 8 = n
MfrDB\MfrDB1683	! - . 0 1 6 7 9
MfrDB\MfrDB1685	( ) + - 0 3 = y
MfrDB\MfrDB1686	+ - 2 3 5 7 \leq x
MfrDB\MfrDB1687	- 2 3 5 \lt x
MfrDB\MfrDB1688	+ 2 4 5 = \log x
MfrDB\MfrDB1689	( ) . 2 4 6 = x
MfrDB\MfrDB1690	( ) - 2 3 5 = \log x
MfrDB\MfrDB1693	+ - 1 2 6 = x
MfrDB\MfrDB1694	( ) + - 1 = a d n
MfrDB\MfrDB1695	- . 1 = a n q
MfrDB\MfrDB1696	1 = \sum a k n s
MfrDB\MfrDB1697	+ - 1 2 3 \sqrt z
MfrDB\MfrDB1703	( ) + - 1 2 = \sum i n
MfrDB\MfrDB1705	- 0 1 2 = \infty \int \pi \sqrt d e x
MfrDB\MfrDB1706	- 0 2 = \infty \int \pi \sin d x
MfrDB\MfrDB1708	- 0 1 3 4 5 = \int \pi d e x
MfrDB\MfrDB1709	( ) - = F \int a b d f x
MfrDB\MfrDB1710	0 1 \int \sqrt d x
MfrDB\MfrDB1711	! + - 0 = \infty \int d e n x
MfrDB\MfrDB1712	= \cos \int \sin d t
MfrDB\MfrDB1713	( ) + - 0 1 2 = R \int \log d x
MfrDB\MfrDB1714	0 1 2 \int d x y
MfrDB\MfrDB1715	( ) 0 = \int a d f x
MfrDB\MfrDB1716	( ) 0 = \infty \int \lim \rightarrow b d f x
MfrDB\MfrDB1718	+ 2 4 x
MfrDB\MfrDB1719	+ - 1 = C \int d n x
MfrDB\MfrDB1720	- 0 1 2 = \sqrt c t v
MfrDB\MfrDB1721	+ - 0 1 2 = a s t
MfrDB\MfrDB1724	+ - 1 2 = E k m v
MfrDB\MfrDB1726	- 0 2 = g t v
MfrDB\MfrDB1728	- 1 2 3 = T a
MfrDB\MfrDB1729	+ = E k p
MfrDB\MfrDB1730	= L \infty \lim \rightarrow n x
MfrDB\MfrDB1731	- 1 = \infty \lim \rightarrow n
MfrDB\MfrDB1732	- 0 1 = \cos \lim \rightarrow x
MfrDB\MfrDB1733	+ - 1 \infty \lim \rightarrow n x |
MfrDB\MfrDB1735	+ - 1 2 3 = \infty \lim \rightarrow n
MfrDB\MfrDB1736	( ) + - 0 2 = \infty \lim \rightarrow \sqrt n
MfrDB\MfrDB1737	( ) + , - = f x y
MfrDB\MfrDB1738	( ) + , = F G H x y z
MfrDB\MfrDB1739	( ) , - 2 3 4 = g
MfrDB\MfrDB1740	( ) + , 1 2 = F G H x y z
MfrDB\MfrDB1741	( ) + 2 = \pi \sin k x
MfrDB\MfrDB1742	( ) + 2 = \pi \sin k x
MfrDB\MfrDB1744	- 2 4 = \cos \pi \sin \sqrt
MfrDB\MfrDB1745	- 2 4 = \cos \pi \sin \sqrt
MfrDB\MfrDB1746	+ - 1 2 = \cos g t y
MfrDB\MfrDB1747	- 1 2 = \cos \sin \sqrt z |
MfrDB\MfrDB1748	- 1 2 = \cos \sin \sqrt z |
MfrDB\MfrDB1749	5 \sqrt
MfrDB\MfrDB1750	+ 1 2 a
MfrDB\MfrDB1751	+ - 1 2 3 5
MfrDB\MfrDB1754	5 \sqrt
MfrDB\MfrDB1755	( ) + - 0 3 = y
MfrDB\MfrDB1758	5 \sqrt
MfrDB\MfrDB1768	+ 1 2 a
MfrDB\MfrDB1775	+ - 1 2 3 5
MfrDB\MfrDB1776	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1777	. = V a b c
MfrDB\MfrDB1778	- 1 2 3 8 =
MfrDB\MfrDB1779	- X Y x y
MfrDB\MfrDB1780	5 \sqrt
MfrDB\MfrDB1782	+ - 1 2 3 5
MfrDB\MfrDB1783	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1784	. = V a b c
MfrDB\MfrDB1785	- 1 2 3 8 =
MfrDB\MfrDB1786	- x y
MfrDB\MfrDB1787	+ - 1 2 3 a x
MfrDB\MfrDB1788	( ) - 1 2 x
MfrDB\MfrDB1789	( ) - 1 a
MfrDB\MfrDB1790	+ - 1 2 5 x
MfrDB\MfrDB1791	- 1 2 a b
MfrDB\MfrDB1792	( ) - 2 3 4 x
MfrDB\MfrDB1794	- 1 3 7 9 \sqrt x
MfrDB\MfrDB1795	! . 0 4 5 8 = n
MfrDB\MfrDB1796	! - 0 1 6 7 9
MfrDB\MfrDB1797	+ - 2 3 x y
MfrDB\MfrDB1798	- 0 1 2 = \sqrt c t v
MfrDB\MfrDB1799	5 \sqrt
MfrDB\MfrDB1800	+ 1 2 a
MfrDB\MfrDB1801	+ - 1 2 3 5
MfrDB\MfrDB1802	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1803	. = V a b c
MfrDB\MfrDB1804	- 1 2 3 8 =
MfrDB\MfrDB1805	- x y
MfrDB\MfrDB1806	+ - 1 2 3 a x
MfrDB\MfrDB1807	( ) - 1 2 x
MfrDB\MfrDB1808	( ) - 1 a
MfrDB\MfrDB1809	+ - 1 2 5 x
MfrDB\MfrDB1811	+ - 1 2 3 a x
MfrDB\MfrDB1812	5 \sqrt
MfrDB\MfrDB1813	+ 1 2 a
MfrDB\MfrDB1814	+ - 0 1 2 = a s t
MfrDB\MfrDB1815	+ - 1 2 3 5
MfrDB\MfrDB1818	+ 0 1 2 3 4 5 6 7 8 9 \gt
MfrDB\MfrDB1819	+ - 1 2 = E k m v
MfrDB\MfrDB1820	. = V a b c
MfrDB\MfrDB1821	- 1 2 3 8 =
MfrDB\MfrDB1822	- x y
MfrDB\MfrDB1823	+ - 1 2 3 a x
MfrDB\MfrDB1824	( ) - 1 2 x
MfrDB\MfrDB1825	( ) - 1 a
MfrDB\MfrDB1827	+ - 1 2 5 x
MfrDB\MfrDB1829	- 1 2 a b
MfrDB\MfrDB1830	( ) - 2 3 4 x
MfrDB\MfrDB1831	( ) - / 1 2 4 y
