extension\10_em_81	\Delta H I
MfrDB\MfrDB1745	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
MfrDB\MfrDB1746	1 + t g 2 y = 1 - \cos 2 y
MfrDB\MfrDB1747	| \sin z | = 1 - \cos 2 z \sqrt
MfrDB\MfrDB1748	| \sin z | = 1 - \cos 2 z \sqrt
MfrDB\MfrDB1749	5 \sqrt 5 5
MfrDB\MfrDB1750	a 1 + a 2
MfrDB\MfrDB1751	2 5 - 3 + 1
MfrDB\MfrDB1754	5 \sqrt 5 5
MfrDB\MfrDB1755	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1758	5 \sqrt 5 5
MfrDB\MfrDB1768	a 1 + a 2
MfrDB\MfrDB1775	2 5 - 3 + 1
MfrDB\MfrDB1776	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1777	V = a . . c b
MfrDB\MfrDB1778	3 2 - 1 = 8
MfrDB\MfrDB1779	X y - Y x
MfrDB\MfrDB1780	5 \sqrt 5 5
MfrDB\MfrDB1782	2 5 - 3 + 1
MfrDB\MfrDB1783	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1784	V = a . b . c
MfrDB\MfrDB1785	3 2 - 1 = 8
MfrDB\MfrDB1786	x y - y x
MfrDB\MfrDB1787	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1788	( 1 2 - x ) 2
MfrDB\MfrDB1789	( a ) - 1 - 1
MfrDB\MfrDB1790	5 - x + 1 + 5 - x 2 + x
MfrDB\MfrDB1791	b - a 2 - a - - b a - 1
MfrDB\MfrDB1792	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB1794	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1795	5 0 ! . n = 4 8 !
MfrDB\MfrDB1796	1 0 0 ! - 9 7 ! - 6 !
MfrDB\MfrDB1797	2 x 3 + 3 y x - 2 - 2 y + x 2 y
MfrDB\MfrDB1798	t = - t 0 \sqrt 1 - - v 2 c 2
MfrDB\MfrDB1799	5 \sqrt 5 5
MfrDB\MfrDB1800	a 1 + a 2
MfrDB\MfrDB1801	2 5 - 3 + 1
MfrDB\MfrDB1802	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1803	V = a . b . c
MfrDB\MfrDB1804	3 2 - 1 = 8
MfrDB\MfrDB1805	x y - y x
MfrDB\MfrDB1806	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1807	1 2 - x ( ) 2
MfrDB\MfrDB1808	( a ) - 1 - 1
MfrDB\MfrDB1809	5 - x + 1 + - 5 x 2 + x
MfrDB\MfrDB1811	a 1 + 2 a + a 3 - 1 - x
MfrDB\MfrDB1812	\sqrt 5 5 5
MfrDB\MfrDB1813	a 1 + a 2
MfrDB\MfrDB1814	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1815	2 5 - 3 + 1
MfrDB\MfrDB1818	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB1819	E k = 1 - 2 m 1 v 2 1 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1820	V = a . b . c
MfrDB\MfrDB1821	3 2 - 1 = 8
MfrDB\MfrDB1822	x y - y x
MfrDB\MfrDB1823	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB1824	( 1 2 - x ) 2
MfrDB\MfrDB1825	( a ) - 1 - 1
MfrDB\MfrDB1827	5 - x + 1 + 5 - x 2 + x
MfrDB\MfrDB1829	b - - b - a 2 - a a - 1
MfrDB\MfrDB1830	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB1831	( y 4 - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB1832	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1833	5 0 ! . n = 4 8 !
MfrDB\MfrDB1834	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB1836	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1837	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1838	3 x - 5 \lt - 2
MfrDB\MfrDB1839	v p = \sqrt = \sqrt 2 v k - 2 k M z R z + h
MfrDB\MfrDB1841	\log 5 + \log 4 x = 2
MfrDB\MfrDB1842	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB1843	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB1844	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1845	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB1846	a n = a 1 . q n - 1
MfrDB\MfrDB1847	s n = \sum n k = 1 a k
MfrDB\MfrDB1848	z 3 + 2 - \sqrt z + 1 \sqrt 3
MfrDB\MfrDB1854	\sum i n i = 1 = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1862	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1863	\int \cos t d t = \sin t
MfrDB\MfrDB1864	\int 0 R 2 x d x - 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB1865	\int \int 0 0 1 1 x 2 y 2 d x d y
MfrDB\MfrDB1866	\int a a f ( x ) d x = 0
MfrDB\MfrDB1867	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB1869	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB1870	t = t 0 - \sqrt 1 - v 2 - c 2
MfrDB\MfrDB1871	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1875	F g = k . - m . M z r 2
MfrDB\MfrDB1876	v = v 0 t - g t 2
MfrDB\MfrDB1877	v p = \sqrt 2 k M z - R z + h = \sqrt 2 v k
MfrDB\MfrDB1878	T 1 2 - T 2 2 = a 1 3 - a 2 3
MfrDB\MfrDB1880	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1881	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1882	\lim x \rightarrow 0 - 1 - \cos x x = 0
MfrDB\MfrDB1883	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1885	\lim n \rightarrow \infty n 2 + 3 n - 2 n 2 + 1 = 1 - 2
MfrDB\MfrDB1886	\lim n \rightarrow \infty ( \sqrt n + 2 - \sqrt n ) = 0
MfrDB\MfrDB1887	f ( x , y ) = x - y + x y
MfrDB\MfrDB1888	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB1889	b - a - a 2 - b - a - 1
MfrDB\MfrDB1890	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1891	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB1892	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1893	( y 4 - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB1894	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB1895	5 0 ! . n = 4 8 !
MfrDB\MfrDB1896	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB1899	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB1900	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
MfrDB\MfrDB1901	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB1902	3 x - 5 \lt - 2
MfrDB\MfrDB1903	1 + t g 2 y = 1 - \cos 2 y
MfrDB\MfrDB1904	\log 5 + \log 4 = 2
MfrDB\MfrDB1905	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB1906	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB1907	2 \log ( x - 3 ) = \log ( - x ) 5
MfrDB\MfrDB1908	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB1909	\sin x + \sin y = 2 \sin ( x + y - 2 ) \cos ( x - y - 2 )
MfrDB\MfrDB1910	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB1911	a n = a 1 . n - 1 q
MfrDB\MfrDB1912	t g 2 x = 2 . t g x - 1 - t g 2 x
MfrDB\MfrDB1913	s n = \sum n k = 1 a k
MfrDB\MfrDB1917	3 \sqrt z 3 + 2 - \sqrt z + 1
MfrDB\MfrDB1918	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB1920	\sum M m = 0 \sum n = 0 N a m , n
MfrDB\MfrDB1921	1 - n \sum n k = 1 ( a k ) 2 \geq 1 - n \sum n k = 1 a k \sqrt
MfrDB\MfrDB1931	f ( x ) . h ( x ) = ( x + 1 ) ( 2 x - 3 )
MfrDB\MfrDB1932	A ( x ) = 1 - x + 1 - x 2 + B ( x )
MfrDB\MfrDB1933	| a - b | \leq | a - c | + | c - b |
MfrDB\MfrDB1934	( | a | - | b | ) 2 - | a - b |
MfrDB\MfrDB1935	a x + b \lt c
MfrDB\MfrDB1936	x \lt c - b - a
MfrDB\MfrDB1937	x 2 - x - 6 \lt 0
MfrDB\MfrDB1938	( x + 3 ) ( x - 5 ) - 3 ( x - 1 ) \gt 0
MfrDB\MfrDB1939	\sqrt x 2 = | x |
MfrDB\MfrDB1940	\sqrt x y z = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB1941	f \prime ( x ) = 1 - 2 \sqrt x
MfrDB\MfrDB1942	\sqrt x = 1 0 ( \log x ) / 2
MfrDB\MfrDB1943	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB1944	| a + i b | = \sqrt x 2 + y 2
MfrDB\MfrDB1945	T 2 1 - T 2 2 = - a 3 1 a 2 2
MfrDB\MfrDB1946	\sum n i = 1 i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB1949	\int 0 \infty \sqrt x e - x d x = 1 - 2 \sqrt \pi
MfrDB\MfrDB1950	\int 0 \infty \sin 2 x - x 2 d x = \pi - 2
MfrDB\MfrDB1952	\int 0 1 x 3 - e x - 1 d x = \pi - 4 1 5
MfrDB\MfrDB1953	\int a b ( x ) f d x = F ( b ) - ( a ) F
MfrDB\MfrDB1954	\int 0 1 \sqrt x d x
MfrDB\MfrDB1955	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB1957	\int \cos t d t = \sin t
MfrDB\MfrDB1958	\int 0 R 2 x d x - 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB1959	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB1960	\int a a f ( x ) d x = 0
MfrDB\MfrDB1963	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB1964	t = t 0 - \sqrt 1 - v 2 - c 2
MfrDB\MfrDB1965	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB1968	E k = 1 - 2 m v 2 1 1 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB1970	v = v 0 t - g t 2
MfrDB\MfrDB1972	T 1 2 - T 2 2 = a 1 3 - a 2 3
MfrDB\MfrDB1973	E = E + E p k
MfrDB\MfrDB1974	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB1975	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB1976	\lim x \rightarrow 0 1 - \cos x - x = 0
MfrDB\MfrDB1977	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB1979	\lim n \rightarrow \infty n 2 + 3 n - 2 n 2 + 1 = 1 - 2
MfrDB\MfrDB1980	\lim x \rightarrow \infty ( \sqrt n + 2 - \sqrt n ) = 0
MfrDB\MfrDB1981	f ( x , y ) = x - y + x y
MfrDB\MfrDB1982	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB1983	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB1984	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB1986	\sin \pi - 4 = \cos \pi - 4 = \sqrt 2 - 2
MfrDB\MfrDB1988	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB1989	\sin x + \sin y = 2 \sin x + y ( - 2 ) \cos ( x - y - 2 )
MfrDB\MfrDB1991	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB1994	\sum M m = 0 \sum N n = 0 a m , n
MfrDB\MfrDB1995	\sqrt 1 - n \sum n k = 1 ( a ) 2 k \geq 1 - n \sum n k = 1 a k
MfrDB\MfrDB2000	f ( x ) . h ( x ) = ( x + 1 ) ( 2 x - 3 )
MfrDB\MfrDB2001	A ( x ) = 1 - x + 1 - x 2 + B ( x )
MfrDB\MfrDB2002	| a - b | \leq | a - c | + | c + | b
MfrDB\MfrDB2003	( | a | - | b | ) 2 - | a - b |
MfrDB\MfrDB2004	a x + b \lt c
MfrDB\MfrDB2005	x \lt c - b - a
MfrDB\MfrDB2006	x 2 - x - 6 \lt 0
MfrDB\MfrDB2007	( x + 3 ) ( x - 5 ) - 3 ( x - 1 ) \gt 0
MfrDB\MfrDB2008	\sqrt x 2 = | x |
MfrDB\MfrDB2009	\sqrt x y z = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB2010	f \prime ( x ) = 1 - 2 \sqrt x
MfrDB\MfrDB2011	\sqrt x = 1 0 ( \log x ) / 2
MfrDB\MfrDB2012	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB2013	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB2014	| a + i b | = \sqrt x 2 + y 2
MfrDB\MfrDB2015	E = E k + E p
MfrDB\MfrDB2016	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB2017	\sin x + \sin y = 2 \sin ( x + y - 2 ) \cos ( x + y - 2 )
MfrDB\MfrDB2020	t g 2 x = 2 . t g x - 1 - t g 2 x
MfrDB\MfrDB2021	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB2025	\sum m = 0 M \sum n = 0 N a m , n
MfrDB\MfrDB2026	\sum m = 0 M \sum n = 0 N a m , n
MfrDB\MfrDB2027	1 - n \sum k = 1 n ( k ) 2 a \sqrt \geq 1 - n \sum k = 1 n a k
MfrDB\MfrDB2028	E = m c 2
MfrDB\MfrDB2029	v = d s - d t
MfrDB\MfrDB2035	\lim x n = L n \rightarrow \infty
MfrDB\MfrDB2036	\lim n \rightarrow \infty n 1 - 2 = 1
MfrDB\MfrDB2037	\lim x \rightarrow 0 - 1 - \cos x x = 0
MfrDB\MfrDB2045	5 \sqrt 5 5
MfrDB\MfrDB2046	a 3 + a 4
MfrDB\MfrDB2047	a 3 \sqrt + a 4
MfrDB\MfrDB2048	\sin x 2
MfrDB\MfrDB2051	x + y = 1 2
MfrDB\MfrDB2057	f ( x ) = x n
MfrDB\MfrDB2061	7 + 5
MfrDB\MfrDB2064	\alpha + b = c
MfrDB\MfrDB2076	5 \sqrt 5 5
MfrDB\MfrDB2077	a 1 + a 2
MfrDB\MfrDB2078	2 5 - 3 + 1
MfrDB\MfrDB2079	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB2080	V = a . b . c
MfrDB\MfrDB2081	3 2 - 1 = 8
MfrDB\MfrDB2082	x y - y x
MfrDB\MfrDB2083	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB2084	( 1 2 - x ) 2
MfrDB\MfrDB2085	( a ) - 1 - 1
MfrDB\MfrDB2086	5 - x + 1 + - 5 x 2 + x
MfrDB\MfrDB2087	- b a 2 - a - - b a - 1
MfrDB\MfrDB2088	x 4 - 2 3 - ( - 2 x ) - 4
MfrDB\MfrDB2089	/ ( y 4 - 1 ) ( y 2 - 1 )
MfrDB\MfrDB2090	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB2091	5 0 ! . n = 4 8 !
MfrDB\MfrDB2092	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB2094	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB2095	- 5 x - 7 3 \leq 2 x + 5
MfrDB\MfrDB2096	3 x - 5 \lt - 2
MfrDB\MfrDB2097	\log 5 + \log 4 x = 2
MfrDB\MfrDB2098	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB2099	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB\MfrDB2100	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB2101	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB2102	a = a 1 . q - 1 n n
MfrDB\MfrDB2103	s n = \sum n k = 1 a k
MfrDB\MfrDB2104	\sqrt 3 - z 3 + 2 \sqrt z + 1
MfrDB\MfrDB2110	\sum n i = 1 i = 1 - 2 n ( n + 1 )
MfrDB\MfrDB2112	\int 0 \infty \sqrt x e - x d x = - \pi 2
MfrDB\MfrDB2114	\int 0 1 - x 3 e x - 1 d x = - \pi 4 1 5
MfrDB\MfrDB2115	\int a b f ( x ) d x = F ( b ) - F ( a )
MfrDB\MfrDB2116	\int 0 1 \sqrt x d x
MfrDB\MfrDB2117	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB2118	\int \cos t d t = \sin t
MfrDB\MfrDB2119	\int 0 P - 2 x d x 1 + x 2 = \log ( 1 + R 2 )
MfrDB\MfrDB2120	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB2121	\int a a f ( x ) d x = 0
MfrDB\MfrDB2122	\int 0 \infty f ( x ) d x = \lim \infty \int 0 b f ( x ) d x b \rightarrow
MfrDB\MfrDB2124	\int x 2 d x = - x n + 1 n + 1 + C
MfrDB\MfrDB2125	a 2 + b 2 = c 2
MfrDB\MfrDB2129	\lim n \rightarrow \infty - n 2 + 3 n 2 n 2 + 1 = 1 - 2
MfrDB\MfrDB2130	\lim n \rightarrow \infty ( \sqrt n + 2 - \sqrt n ) = 0
MfrDB\MfrDB2131	f ( x , y ) = x - y + x y
MfrDB\MfrDB2135	t = - t 0 \sqrt 1 - - v 2 c 2
MfrDB\MfrDB2136	s = s 0 t + - 1 2 a t 2
MfrDB\MfrDB2139	E k = - 1 2 m 1 v 1 2 + - 1 2 m 2 v 2 2
MfrDB\MfrDB2141	v = v 0 t - g t 2
MfrDB\MfrDB2143	T 1 2 - T 2 2 = - a 1 3 a 3 2
MfrDB\MfrDB2144	E = E k + E p
MfrDB\MfrDB2145	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB2146	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB2147	\lim x \rightarrow 0 - 1 - \cos x x = 0
MfrDB\MfrDB2148	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB2150	\lim n \rightarrow \infty - n 2 + 3 n 2 n 2 + 1 = - 1 2
MfrDB\MfrDB2151	\lim n \rightarrow \infty ( \sqrt n + 2 - \sqrt n ) = 0
MfrDB\MfrDB2152	f ( x y ) , = x - y + x y
MfrDB\MfrDB2153	F ( x , y , z ) = G ( x , y ) + H ( , ) + 2 1 y z
MfrDB\MfrDB2154	g ( 2 , 3 , 4 ) = 3 4 - 3
MfrDB\MfrDB2155	\sin x = \sin ( x - 2 \pi k )
MfrDB\MfrDB2157	\sin \pi - 4 = \cos 4 \pi - = - \sqrt 2 2
MfrDB\MfrDB2158	1 + t g 2 y = - 1 \cos 2 y
MfrDB\MfrDB2159	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB2160	\sin x + \sin y = 2 \sin ( x + y - 2 ) \cos ( - x y - 2 )
MfrDB\MfrDB2161	t g 2 x = - 2 . t g x 1 - t g 2 x
MfrDB\MfrDB2162	\cos 3 y = - 1 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB2176	\sum M = 0 \sum = 0 N a m n m 1 n
MfrDB\MfrDB2177	1 - n \sum n k = 1 ( a k ) 2 \geq - 1 n \sum n k = 1 a k \sqrt
MfrDB\MfrDB2182	2 + 2
MfrDB\MfrDB2184	2 x + 3 y = 2 6
MfrDB\MfrDB2186	a + b 2 2 = c 2
MfrDB\MfrDB2192	2 \times 3
MfrDB\MfrDB2200	f ( x ) . h ( x ) = ( x + 1 ) ( 2 x - 3 )
MfrDB\MfrDB2201	A ( x ) = - 1 x + - 1 x 2 + B ( x )
MfrDB\MfrDB2202	| a - b | \leq | a - c | | c - b + |
MfrDB\MfrDB2203	- ( | a | - | b | ) 2 | a - b |
MfrDB\MfrDB2204	a x + b \lt c
MfrDB\MfrDB2205	x \lt - c - b a
MfrDB\MfrDB2206	x 2 - x - 6 \lt 0
MfrDB\MfrDB2207	- ( x + 3 ) ( x - 5 ) 3 ( x - 1 ) \gt 0
MfrDB\MfrDB2208	\sqrt x 2 = | x |
MfrDB\MfrDB2209	\sqrt x y z = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB2210	f \prime x ) = - 1 2 \sqrt x (
MfrDB\MfrDB2211	\sqrt x = 1 0 ( \log x ) / 2
MfrDB\MfrDB2212	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB2213	| a + i b | = \sqrt x 2 + y 2
MfrDB\MfrDB2217	E = m c 2
MfrDB\MfrDB2225	2 + 3 = 5
MfrDB\MfrDB2237	2 + 3 = 5
MfrDB\MfrDB2238	x - 3 = 2
MfrDB\MfrDB2241	\int x d x
MfrDB\MfrDB2242	1 + 1
MfrDB\MfrDB2247	x + y = z
MfrDB\MfrDB2249	3 + 2 . 4 5
MfrDB\MfrDB2250	P ( t ) = - 1 1 + e - t
MfrDB\MfrDB2251	d - d t P ( t ) = P ( t ) . ( 1 - P ( t ) )
MfrDB\MfrDB2252	1 - P ( t ) = - P ( t )
MfrDB\MfrDB2254	a 2 + b 2 = c 2
MfrDB\MfrDB2263	2 2 / 3
MfrDB\MfrDB2264	- 1 2
MfrDB\MfrDB2271	( x + y ) z = x z + y z
MfrDB\MfrDB2272	\sqrt 5 5 5
MfrDB\MfrDB2273	a 1 + a 2
MfrDB\MfrDB2274	2 5 - 3 + 1
MfrDB\MfrDB2275	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB2276	V = a . b . c
MfrDB\MfrDB2277	3 2 - 1 = 8
MfrDB\MfrDB2278	x y - y x
MfrDB\MfrDB2286	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB2287	5 0 ! . n = 4 8 !
MfrDB\MfrDB2288	1 0 0 ! - 9 7 ! . 6 !
MfrDB\MfrDB2290	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB\MfrDB2291	5 x - 7 - 3 \leq 2 x + 5
MfrDB\MfrDB2292	3 x - 5 \lt - 2
MfrDB\MfrDB2293	\log 5 + \log 4 x = 2
MfrDB\MfrDB2294	6 6 . 6 2 = ( 6 x ) 4
MfrDB\MfrDB2296	2 x + 1 - 2 x = 1 6
MfrDB\MfrDB2297	a n = a 1 + ( n - 1 ) d
MfrDB\MfrDB2298	a n = a 1 . q n - 1
MfrDB\MfrDB2299	s n = \sum = 1 n a k k
MfrDB\MfrDB2300	\sqrt 3 z 3 + 2 - \sqrt z + 1
MfrDB\MfrDB2311	x + y = z
MfrDB\MfrDB2325	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB2335	E = E k + E p
MfrDB\MfrDB2346	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB2347	3 + 4
MfrDB\MfrDB2350	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB2351	\sin x + \sin y = 2 \sin ( x + y - 2 ) \cos ( x - y - 2 )
MfrDB\MfrDB2352	t g 2 x = 2 . t g x - 1 - t g 2 x
MfrDB\MfrDB2353	\cos 3 y = 1 - 4 ( \cos 3 y + 3 \cos y )
MfrDB\MfrDB2365	a + b 2
MfrDB\MfrDB2366	3 - \pi
MfrDB\MfrDB2370	\sqrt x 2 = | x |
MfrDB\MfrDB2371	\sqrt x y z = \sqrt x \sqrt y \sqrt z
MfrDB\MfrDB2372	f \prime ( x ) = 1 - 2 \sqrt x
MfrDB\MfrDB2375	| a + i b | = \sqrt x 2 + y 2
MfrDB\MfrDB2378	2 5 - 3 + 1
MfrDB\MfrDB2379	1 2 3 4 + 5 6 7 8 \gt 9 0
MfrDB\MfrDB2380	V = a . b . c
MfrDB\MfrDB2381	3 2 - 1 = 8
MfrDB\MfrDB2382	x y - y x
MfrDB\MfrDB2383	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB2384	x - 3
MfrDB\MfrDB2386	( 1 2 - x ) 2
MfrDB\MfrDB2387	( a ) - 1 - 1
MfrDB\MfrDB2388	5 - x + 1 + 5 - x 2 + x
MfrDB\MfrDB2392	x 2
MfrDB\MfrDB2396	( y - 3 ) ( y + 3 ) + y + 3 ( ) = 0
MfrDB\MfrDB2404	a n = a 1 . q n - 1
MfrDB\MfrDB2406	e = m c 2
MfrDB\MfrDB2410	c 2 = a 2 + b 2 + a b
MfrDB\MfrDB2419	\int 0 1 \sqrt x d x
MfrDB\MfrDB2420	\int 0 + \infty x n e - x d x = n !
MfrDB\MfrDB2421	\int \cos t d t = \sin t
MfrDB\MfrDB2422	\int 0 R 2 x - 1 + x 2 d x = \log ( 1 + R 2 )
MfrDB\MfrDB2423	\int 0 1 \int 0 1 x 2 y 2 d x d y
MfrDB\MfrDB2424	\int a a f ( x ) d x = 0
MfrDB\MfrDB2425	\int 0 \infty f ( x ) d x = \lim b \rightarrow \infty \int 0 b f ( x ) d x
MfrDB\MfrDB2427	\int x n d x = x n + 1 - n + 1 + C
MfrDB\MfrDB2428	t = t 0 - \sqrt 1 - v 2 - c 2
MfrDB\MfrDB2429	s = s 0 t + 1 - 2 a t 2
MfrDB\MfrDB2432	E k = 1 - 2 m 1 v 1 2 + 1 - 2 m 2 v 2 2
MfrDB\MfrDB2434	v = v 0 t - g t 2
MfrDB\MfrDB2436	T 1 2 - T 2 2 = a 1 3 - a 2 3
MfrDB\MfrDB2437	E = E k + E p
MfrDB\MfrDB2438	\lim n \rightarrow \infty x n = L
MfrDB\MfrDB2439	\lim n \rightarrow \infty n 1 - n = 1
MfrDB\MfrDB2440	\lim x \rightarrow 0 1 - \cos x - x = 0
MfrDB\MfrDB2441	\lim n \rightarrow \infty | x n + 1 - x n |
MfrDB\MfrDB2445	f ( x , y ) = x - y + x y
MfrDB\MfrDB2446	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB2447	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1
MfrDB\MfrDB2448	\sin x = \sin ( x + 2 \pi k )
MfrDB\MfrDB2450	\sin - \pi 4 = \cos - \pi 4 = - \sqrt 2 2
MfrDB\MfrDB2451	1 + t g 2 y = - \cos 2 y 1
MfrDB\MfrDB2452	| \sin z | = \sqrt 1 - \cos 2 z
MfrDB\MfrDB2471	( x + 3 ) ( x - 5 ) - 3 ( x - 1 ) \gt 0
MfrDB\MfrDB2476	\sqrt a = 2 - n \sqrt 4 n a
MfrDB\MfrDB2477	1 + 2
MfrDB\MfrDB2478	5 \sqrt 5 5
MfrDB\MfrDB2479	a 1 + a 2
MfrDB\MfrDB2480	2 5 - 3 + 1
MfrDB\MfrDB2483	3 2 - 1 = 8
MfrDB\MfrDB2485	a 1 + a 2 + a 3 - 1 - x
MfrDB\MfrDB2486	( 1 2 - x ) 2
MfrDB\MfrDB2487	( a ) - 1 - 1
MfrDB\MfrDB2489	b - a 2 - a - b - a - 1
MfrDB\MfrDB2490	x 4 - 2 3 - ( 2 - x ) - 4
MfrDB\MfrDB2491	( y 4 - 1 ) / ( y 2 - 1 )
MfrDB\MfrDB2492	\sqrt 9 9 x 7 - 1 1 x 3
MfrDB\MfrDB2493	5 0 ! . n = 4 8 !
MfrDB\MfrDB2494	1 0 0 ! - 9 7 ! . 6 !
